id,volunteer_id,volunteered_before,previous_organization,age,occupation,emotional_resilience,coping_strategy,availability,confidentiality_ability,relevant_skills,skills_details,past_pressures,pressure_details,substance_abuse,police_record,police_record_details,emergency_disclosure,app_understanding,app_importance,why_volunteer,
1,1,כן,פיתחון לב,18,מלצרית,לא,,4,כן,כן,התנדבתי בעמותה,לא,,לא,לא,,לא,כן,הצלת חיים,הצלת חיים,
2,2,כן,מדא,19,בצבא,לא,,1,כן,כן,התנדבתי במדא,לא,,לא,לא,,לא,כן,הצלת חיים,הצלת חיים,
3,3,כן,מדא,21,מארחת,כן,,3,כן,כן,התמודדתי עם מקרים דומים בעבר,לא,,לא,לא,,לא,כן,הצלת חיים,הצלת חיים,
4,4,לא,,20,בצבא,כן,,2,כן,לא,,לא,,לא,לא,,לא,כן,עזרה לאנשים,הצלת חיים,
5,5,כן,לתת,18,חנות בגדים,כן,,5,כן,לא,,לא,,כן,לא,,כן,כן,התנדבות ,הצלת חיים,
6,6,לא,,25,סטודנט,לא,,1,כן,כן,יצירתיות,לא,,כן,לא,,לא,כן,התנדבות ,הצלת חיים,
7,7,לא,,27,מנהלת פרויקטים,כן,,3,כן,לא,,לא,,לא,לא,,לא,כן,הצלת חיים,הצלת חיים,
8,8,לא,,19,מלצר,לא,,3,כן,כן,תקשורת,לא,,לא,לא,,לא,כן,הצלת חיים,הצלת חיים,
9,9,כן,רוח טובה,22,ברמנית,לא,,4,לא,לא,,לא,,לא,לא,,לא,כן,הצלת חיים,הצלת חיים,
10,10,לא,,28,ברמן,כן,,4,לא,לא,,לא,,לא,לא,,כן,כן,עזרה לאנשים,הצלת חיים,
